customer_id,police_report,claim_type,claim_amount,total_policy_claims,fraudulent
14477985,Unknown,Injury only,$13100,5.0,No
66521317,No,Material only,,1.0,No
9081086,Yes,Injury only,$34470,1.0,No
47237571,No,Material and injury,$40930,1.0,No
30308357,No,Material only,$1950,6.0,No
47830476,Unknown,Material only,$1440,1.0,No
19269962,No,Material only,$2240,2.0,No
21831191,Unknown,Material and injury,$36810,1.0,No
91010040,No,Material only,$2460,1.0,No
69050904,No,Material only,$1060,1.0,No
69128619,No,Material and injury,$19040,4.0,No
76933532,No,Material only,$2150,3.0,No
25174766,No,Material only,$1060,1.0,No
38923726,No,Injury only,$26850,1.0,No
53225913,No,Material only,$3381,2.0,Yes
83086717,No,Material and injury,$23940,1.0,No
40460125,No,Material only,$1564,1.0,Yes
88200222,Unknown,Material only,$1780,1.0,No
88878373,Unknown,Material only,$3001.5,2.0,Yes
97545319,No,Injury only,$33520,1.0,No
64610611,Yes,Injury only,$35910,3.0,No
24310699,Unknown,Material only,$1210,1.0,No
42569977,Yes,Material and injury,$36170,1.0,No
34803042,No,Material only,$1265,1.0,Yes
25512276,No,Material and injury,$16380,1.0,No
9205013,Yes,Material and injury,$23430,1.0,No
29517588,No,Material only,$2553,4.0,Yes
71462870,No,Material only,$1870,3.0,No
53886536,No,Material only,$2270,1.0,No
89279737,No,Material and injury,$21920,1.0,No
5027573,No,Material only,$1490,1.0,No
69204774,No,Material only,$2265.5,1.0,Yes
9466593,No,Material only,$1472,1.0,Yes
30679789,Unknown,Injury only,$36010,2.0,No
15000907,No,Material only,$2340,3.0,No
96795364,Unknown,Material only,$2250,1.0,No
33152432,No,Material only,$1500,1.0,No
42867092,No,Injury only,,1.0,Yes
47145694,No,Material only,$1590,1.0,No
72833735,Unknown,Material only,$2495.5,1.0,Yes
3771583,No,Material only,$1242,1.0,Yes
8609975,No,Material only,$2890,1.0,No
29235935,Yes,Injury only,$30500,1.0,No
35459428,No,Injury only,$32040,6.0,No
2917414,No,Material and injury,$17070,1.0,No
55982230,Unknown,Material and injury,$29428.5,1.0,Yes
69872861,No,Material only,$2900,3.0,No
44866465,Yes,Injury only,$31240,1.0,No
39554038,No,Material only,$2047,1.0,Yes
14712345,Unknown,Material only,$1630,1.0,No
41660480,No,Material only,,1.0,No
53981675,No,Material and injury,$21940,1.0,No
287476,Unknown,Material only,$1621.5,2.0,Yes
58378868,No,Material only,$1240,2.0,No
62960540,No,Injury only,$34390,4.0,No
36780334,No,Material only,$2340,1.0,No
17814402,No,Material and injury,$35480,1.0,No
4420512,No,Material only,$1860,1.0,No
51485708,No,Material only,$2010,1.0,No
71496799,No,Material only,$2520,1.0,No
85983291,No,Material only,$1518,3.0,Yes
29500814,No,Material only,$2150.5,5.0,Yes
74351384,No,Material only,,1.0,No
72363224,No,Material only,$1500,1.0,No
41106063,No,Material only,$2830,1.0,No
57043846,Yes,Injury only,$34490,1.0,No
31740446,No,Material only,$2553,1.0,Yes
17690710,Yes,Injury only,$32180,1.0,No
50771198,Yes,Material only,$1020,1.0,No
23460895,No,Material and injury,$34994.5,1.0,Yes
33628817,Yes,Material only,$2800,1.0,No
32791401,No,Material only,$1630,1.0,No
86491727,Unknown,Material only,$1860,1.0,No
99674324,No,Injury only,$21480,1.0,No
81371138,No,Material only,$3358,1.0,Yes
30199988,No,Material only,$1978,3.0,Yes
20299691,No,Material only,$2093,5.0,Yes
40591588,Unknown,Material and injury,$39928,1.0,Yes
28871739,No,Material only,$1920.5,1.0,Yes
46995469,No,Material only,$2520,1.0,No
8774687,No,Material only,,1.0,No
42083451,No,Material only,$2400,1.0,No
50560987,Unknown,Material and injury,$21700,3.0,No
88881248,Yes,Material only,$1610,4.0,No
30060683,No,Material only,$2160,1.0,No
28999720,Unknown,Material only,$2360,1.0,No
40971431,No,Material and injury,$46483,1.0,Yes
46866733,Yes,Injury only,,3.0,No
6563653,Unknown,Material and injury,$21530,2.0,No
9959859,No,Material only,$3105,3.0,Yes
71404791,No,Material only,$1368.5,3.0,Yes
73491590,Unknown,Material only,$2270,4.0,No
11429044,Yes,Material and injury,$33730,1.0,No
45634936,No,Material only,$1890,1.0,No
71108576,No,Material and injury,$39997,1.0,Yes
9017128,Unknown,Material and injury,$19530,1.0,No
72587271,Unknown,Injury only,$18140,2.0,No
12673582,Unknown,Injury only,$33400,1.0,No
44821508,No,Material only,$2740,2.0,No
85683729,No,Material only,,1.0,No
90115894,Yes,Material only,$2240,1.0,No
45566276,No,Material only,$3231.5,4.0,Yes
12827745,Unknown,Injury only,$19470,1.0,No
28590552,Unknown,Material and injury,$25160,1.0,No
15965441,No,Material only,$2120,1.0,No
12779308,No,Material only,$1560,1.0,No
53719176,Unknown,Injury only,,6.0,Yes
51842360,No,Material only,$1130,,No
56398264,Unknown,Material only,$2090,2.0,No
73898057,Unknown,Material only,$1610,4.0,Yes
2476913,No,Injury only,$22130,1.0,No
66267050,No,Material only,$2250,1.0,No
46551094,Yes,Material and injury,$33640,1.0,No
5061178,No,Material and injury,$19100,1.0,No
29323970,Unknown,Material only,$1840,1.0,Yes
67243622,Unknown,Material only,,1.0,No
62861487,Yes,Injury only,$19340,1.0,No
98083433,No,Material only,$1120,3.0,No
15681024,No,Material and injury,$14220,1.0,No
92644503,Yes,Injury only,$18650,1.0,No
65916260,No,Material only,$3415.5,1.0,Yes
34953203,Yes,Injury only,$19400,1.0,No
99961993,No,Material only,$2310,1.0,No
42098367,Unknown,Material and injury,$24621.5,1.0,Yes
9130038,No,Material only,$3128,1.0,Yes
80562391,Unknown,Material only,$3369.5,1.0,Yes
28932340,Unknown,Material only,,1.0,No
79212942,Unknown,Material and injury,,1.0,No
5864769,Yes,Injury only,$34460,1.0,No
3955265,Unknown,Material and injury,$37740,1.0,No
42882285,No,Material only,$2357.5,1.0,Yes
96134505,No,Injury only,$33522.5,1.0,Yes
8375366,Unknown,Material only,$2110,1.0,No
82000019,No,Injury only,$33752.5,1.0,Yes
30394029,No,Material only,$1070,3.0,No
51525336,Unknown,Injury only,$33465,1.0,Yes
54963034,Yes,Injury only,$16480,3.0,No
90876878,Unknown,Injury only,$13820,1.0,No
16216085,No,Material only,$2880,1.0,No
11982382,No,Material only,$1640,1.0,No
33290806,No,Material only,$2550,1.0,No
39628347,No,Material only,$2220,5.0,No
84277947,No,Material only,$2370,1.0,No
95856464,No,Material only,$1120,1.0,No
67335009,Yes,Material and injury,$20610,1.0,No
8765210,No,Material and injury,$34200,1.0,No
77765211,No,Material only,$2580,1.0,No
39035416,Unknown,Material only,$2540,2.0,No
5264479,Unknown,Injury only,$24220,1.0,No
24769711,Yes,Material and injury,$20380,2.0,No
98142348,No,Material only,$2564.5,2.0,Yes
22328083,Yes,Material and injury,$30170,2.0,No
85984961,Unknown,Material only,$3231.5,1.0,Yes
46937376,No,Material only,$1980,1.0,No
54252815,Unknown,Injury only,$16680,1.0,No
17774827,No,Material only,$1370,1.0,No
80544918,No,Material only,$1430,1.0,No
18818283,No,Material only,,3.0,No
22370979,Yes,Material and injury,$24050,2.0,No
88623068,Yes,Material and injury,$15040,1.0,No
89044601,No,Material and injury,$17951.5,1.0,Yes
73876237,No,Material only,$2130,1.0,No
47585713,Unknown,Injury only,$33140,1.0,No
16981057,Yes,Injury only,$30080,1.0,No
32301882,No,Material only,$1310,1.0,No
16717085,No,Material only,$2740,2.0,No
75192560,Yes,Injury only,$37520,1.0,No
24715429,Yes,Material only,$2390,3.0,No
2121802,Yes,Material and injury,$32090,1.0,No
30966524,No,Injury only,$16870,1.0,No
63238733,No,Injury only,,1.0,No
39608351,Yes,Material only,$2750,1.0,No
16453494,Unknown,Material only,$2480,1.0,No
92789350,No,Material only,$1170,2.0,No
83706741,Yes,Material only,$2633.5,1.0,Yes
92400577,No,Material only,,1.0,Yes
90646435,Unknown,Injury only,$25350,1.0,No
56229221,No,Material only,$1520,1.0,No
63788489,No,Material only,$1880,1.0,No
49187749,No,Material and injury,$16680,1.0,No
58144290,No,Material only,$1250,1.0,No
21330507,No,Material only,,1.0,No
21066098,No,Material only,$2955.5,1.0,Yes
46673661,No,Material only,$1320,2.0,No
48477164,Unknown,Material and injury,$48150.5,4.0,Yes
42351519,No,Material only,$2800,2.0,No
25879245,No,Material only,$1300,1.0,No
86301193,No,Material and injury,$25093,1.0,Yes
12996134,Unknown,Material only,$2680,1.0,No
44003496,No,Material only,$1400,1.0,No
89737711,Unknown,Material only,$2800,1.0,No
32560779,No,Material only,,2.0,No
8039037,No,Material only,$1210,1.0,No
68723599,No,Material only,$1380,1.0,Yes
46129941,No,Material only,$3277.5,8.0,Yes
58098499,No,Injury only,$27580,1.0,No
12377926,Yes,Injury only,$14480,1.0,No
20444103,Unknown,Material only,$1330,5.0,No
89456307,No,Material only,$2500,1.0,No
15166995,No,Material and injury,$20690,1.0,No
38384757,Unknown,Material only,$1880,2.0,No
74219574,No,Material only,$2700,1.0,No
3967610,Unknown,Material and injury,$26610,1.0,No
441097,Yes,Material and injury,$37040,1.0,No
86992868,No,Material only,$2500,2.0,No
78277006,Yes,Material and injury,$25750,1.0,No
83499843,No,Material and injury,$18135.5,1.0,Yes
71585789,Unknown,Material and injury,$18963.5,1.0,Yes
6342530,No,Material only,$2940,1.0,No
72081129,No,Material only,$1730,3.0,No
2413612,No,Material only,,1.0,No
263204,No,Material and injury,$39192,1.0,Yes
8733543,No,Material only,$2300,1.0,No
14792193,Unknown,Material and injury,$36440,1.0,No
80581271,No,Material only,$1184.5,1.0,Yes
18426154,Yes,Material and injury,$21590,1.0,No
85689455,No,Material only,$1600,1.0,No
64270813,Unknown,Material only,$1748,1.0,Yes
51547112,No,Material only,$2460,3.0,No
48609526,No,Injury only,$29530,1.0,No
49759488,Unknown,Material only,$1667.5,1.0,Yes
56075921,No,Material only,$1587,4.0,Yes
76916649,No,Material only,$2550,4.0,No
47565478,No,Material only,$2702.5,1.0,Yes
18282409,No,Injury only,$31020,2.0,No
8715802,Yes,Material only,$2010,1.0,No
42708350,No,Material only,$2150,1.0,No
39405635,Unknown,Material and injury,$45540,1.0,Yes
48038858,Unknown,Material only,$1759.5,2.0,Yes
15880215,Yes,Injury only,$34200,1.0,No
13088377,Unknown,Material and injury,$22270,4.0,No
88870543,Yes,Material only,$1300,3.0,No
9339845,No,Material only,,1.0,No
13926634,No,Material only,$2610.5,3.0,Yes
18307355,Yes,Material and injury,$34210,1.0,No
50436220,Unknown,Material and injury,$34530,1.0,No
66353946,Unknown,Material and injury,$26890,1.0,No
39881716,Unknown,Injury only,$28040,2.0,No
28239393,No,Material only,$1230,4.0,No
5237129,Unknown,Injury only,$19750,5.0,No
19521118,No,Material only,$1380,1.0,No
14892213,No,Material only,$2010,5.0,No
53442249,No,Material only,$1495,1.0,Yes
45971331,Unknown,Injury only,$32730,1.0,No
79889146,No,Material only,$2587.5,3.0,Yes
21774335,No,Material only,,1.0,No
66284489,No,Material only,$1630,4.0,No
72488905,Unknown,Injury only,$26300,1.0,No
93910149,No,Material only,$1960,1.0,No
77116501,Unknown,Injury only,$20490,7.0,No
95822358,Unknown,Injury only,$16479.5,1.0,Yes
54699348,Unknown,Material only,$1980,3.0,No
96496046,No,Injury only,,1.0,No
73869005,No,Material only,$2100,3.0,No
83827717,Unknown,Material only,$2290,1.0,No
55401227,Unknown,Material only,$1190,1.0,No
80295008,Unknown,Injury only,$21600,1.0,No
28820055,No,Material only,$1260,1.0,No
93455439,No,Material only,$2219.5,1.0,Yes
19478893,No,Material only,$1910,1.0,No
45419022,Unknown,Material only,$1690,3.0,No
49583926,Unknown,Material and injury,$15750,1.0,No
72296323,Unknown,Material only,$2110,1.0,No
10149231,Unknown,Material and injury,$34780,3.0,No
93009704,Unknown,Material only,$1900,5.0,No
60987956,No,Injury only,$36500,1.0,No
68709394,No,Material and injury,$36860,4.0,No
27878628,No,Material only,$2277,1.0,Yes
90085898,No,Material only,$3116.5,1.0,Yes
56098966,No,Material only,$2360,3.0,No
69317965,No,Material and injury,$30340,1.0,No
81968615,No,Material and injury,$23420,1.0,No
83223514,Yes,Injury only,$30400,1.0,No
78341228,Unknown,Material only,$2090,1.0,No
41462913,Unknown,Material and injury,$29740,1.0,No
80905889,No,Material only,$1680,1.0,No
93822307,No,Material only,$2940,1.0,No
4889449,No,Material only,$1207.5,1.0,Yes
98199694,No,Material and injury,$22540,1.0,No
50460892,No,Injury only,$31740,2.0,No
42664554,No,Injury only,$27670,1.0,No
94943525,No,Material and injury,$44470.5,2.0,Yes
45434540,No,Material only,$2000,1.0,No
88544496,Yes,Material only,$2810,3.0,No
36544565,Unknown,Material and injury,$27330,3.0,No
90234480,No,Material only,$2670,1.0,No
40801256,Yes,Material and injury,$26250,1.0,No
67052896,Unknown,Material and injury,$14690,1.0,No
15323667,Unknown,Injury only,$15270,4.0,No
67070056,No,Material only,$2770,1.0,No
20607084,No,Injury only,$37400,1.0,No
86886743,No,Injury only,,1.0,No
52995625,No,Material only,$2310,1.0,No
63137507,No,Material only,$3323.5,1.0,Yes
56250763,No,Material only,$1570,1.0,No
35593972,No,Material only,$1530,1.0,No
86820732,Unknown,Material only,$1090,1.0,No
45113346,Unknown,Material only,$1750,1.0,No
54668401,No,Material only,$2140,1.0,No
80002521,No,Material only,,3.0,No
14664886,No,Material only,$2730,1.0,No
29903212,No,Material only,$2668,2.0,Yes
95628948,Yes,Injury only,$21160,1.0,No
39497409,Unknown,Injury only,$32867,3.0,Yes
77006226,No,Material only,$2930,1.0,No
23252820,Unknown,Material only,$2560,1.0,No
96116969,No,Material only,$2420,1.0,No
46076664,Unknown,Material only,$1690,1.0,No
91322083,Unknown,Material and injury,$17370,3.0,No
34414080,No,Injury only,$13090,1.0,No
87607433,Yes,Material and injury,$33620,1.0,No
99892000,No,Material only,$2415,2.0,Yes
74633480,Yes,Material only,$2790,3.0,No
16859101,Unknown,Material only,$1970,5.0,No
92362143,No,Material only,$1200,1.0,No
41291823,No,Material and injury,,1.0,No
46710738,No,Material only,$1830,1.0,No
47415706,Unknown,Material and injury,$18457.5,1.0,Yes
83944124,Unknown,Material only,,1.0,No
58198965,Yes,Material and injury,$30670,1.0,No
80503762,No,Material only,$2380.5,1.0,Yes
15214936,No,Material and injury,$40135,2.0,Yes
81970531,Unknown,Material and injury,$29200,1.0,No
12826843,Unknown,Material only,$1340,1.0,No
20643817,No,Material only,$1800,1.0,No
38369440,No,Material only,$2780,1.0,No
69427973,Unknown,Material and injury,,1.0,No
3497881,No,Material and injury,$42021,1.0,Yes
46678650,No,Material only,$2200,3.0,No
17664425,No,Material only,$2196.5,5.0,Yes
41128407,No,Injury only,$36670,2.0,No
75884493,Yes,Material and injury,$35310,6.0,No
22580068,Unknown,Material only,$3151,1.0,Yes
49170442,No,Material and injury,$42872,1.0,Yes
76962128,No,Material only,$2420,1.0,No
72991636,Yes,Material and injury,$32750,4.0,No
24053072,No,Material only,$2490,1.0,No
68458649,No,Material only,$1960,5.0,No
98401399,Unknown,Injury only,$24900,1.0,No
8310837,Yes,Injury only,$35280,2.0,No
99170243,No,Material only,$2260,1.0,No
33314915,No,Material only,$1610,1.0,Yes
58693933,No,Material only,$2070,1.0,Yes
65898442,No,Material only,$2990,1.0,No
40303052,Yes,Injury only,$22440,1.0,No
94030912,Yes,Material only,$3093.5,1.0,Yes
76282379,Unknown,Material and injury,$22850,1.0,No
62528525,No,Material only,,1.0,No
69526996,No,Material only,$1740,2.0,No
88566888,No,Material only,$2430,3.0,No
30015627,Yes,Material only,$2208,4.0,Yes
70088729,No,Material only,$1552.5,1.0,Yes
53042145,Unknown,Material only,$2553,4.0,Yes
12499211,No,Material only,$3139.5,1.0,Yes
3915010,Unknown,Material and injury,$19820,1.0,No
23094322,Yes,Material and injury,$35800,1.0,No
95863439,Unknown,Material only,$2510,1.0,No
72212627,No,Injury only,$14250,1.0,No
49164086,No,Material only,$3093.5,4.0,Yes
44050095,Unknown,Material and injury,$20458.5,1.0,Yes
10198314,Unknown,Injury only,$28658,1.0,Yes
84861652,No,Material only,$1290,1.0,No
88489646,No,Material only,$2360,1.0,No
89364843,No,Material only,,1.0,No
29459103,No,Injury only,,1.0,Yes
86164274,Unknown,Material and injury,$15760,1.0,No
41858669,No,Material only,$1610,2.0,No
9113953,No,Material only,$2090,1.0,No
6984936,Yes,Material and injury,$25210,3.0,No
37686146,No,Material only,$1510,1.0,No
86088574,No,Injury only,$40951.5,1.0,Yes
73685982,No,Material only,$1470,1.0,No
63279444,No,Material only,$1587,4.0,Yes
84080228,Yes,Material and injury,$23483,4.0,Yes
99723844,Yes,Material and injury,$14360,1.0,No
885337,No,Material only,$2490,2.0,No
22125988,No,Material only,$2710,1.0,No
79391302,No,Material only,$2500,2.0,No
75483302,No,Material only,$1770,5.0,No
86977672,No,Material only,$1530,2.0,No
7703371,No,Material only,$1350,1.0,No
69101618,No,Material and injury,$29220,3.0,No
20681481,No,Material only,$2720,1.0,No
9897266,Yes,Injury only,$27350,1.0,No
69165409,No,Material and injury,$19390,1.0,No
97226830,No,Material only,$2900,2.0,No
66788290,Yes,Injury only,$33360,1.0,No
67697862,No,Material only,$2320,1.0,No
69623124,No,Material only,$1180,2.0,No
86445910,Unknown,Material only,$2470,1.0,No
48445766,No,Material only,$1000,2.0,No
74787956,Unknown,Material only,,1.0,No
45364348,No,Material only,$2990,1.0,No
81661419,No,Material only,$2852,2.0,Yes
78301168,Unknown,Material only,$1370,1.0,No
91447671,No,Material only,$1370,1.0,No
23445933,No,Material only,$1670,2.0,No
86320995,No,Material only,$1720,1.0,No
77134414,Unknown,Injury only,$28760,1.0,No
71986983,Unknown,Material only,$1180,4.0,No
28528424,No,Material only,,1.0,No
26346266,No,Material only,$3346.5,1.0,Yes
71259315,No,Material only,$2110,1.0,No
78119838,No,Material only,$1750,1.0,No
27598176,No,Material and injury,$48035.5,1.0,Yes
83135621,No,Material only,$1240,1.0,No
51760038,No,Material only,$2800,1.0,No
91002298,No,Injury only,$34010,1.0,No
16906248,No,Material only,$1780,1.0,No
93133213,No,Material only,$1480,1.0,No
18369428,No,Material only,$1472,1.0,Yes
71676845,No,Material only,,3.0,No
68067526,No,Material only,$1330,1.0,No
97169446,No,Material only,$1780,5.0,No
44453657,No,Material only,$1276.5,1.0,Yes
32646041,No,Material and injury,$28520,1.0,Yes
41946743,No,Injury only,$17870,6.0,No
74207825,No,Material only,$2380,,No
24247743,No,Material only,$2280,1.0,No
69608621,No,Material only,$1357,1.0,Yes
72664684,Unknown,Material only,$2590,1.0,No
18174078,No,Material only,$2852,4.0,Yes
34756508,No,Material only,$1690,1.0,No
608461,No,Material only,$2630,1.0,No
12015897,Unknown,Material only,$2270,6.0,No
60965575,No,Material and injury,$19895,1.0,Yes
81634435,Unknown,Material and injury,,1.0,No
67849662,Yes,Injury only,$35920,1.0,No
96439036,Yes,Injury only,$26320,1.0,No
51033228,No,Material and injury,$30890,2.0,No
58451506,No,Material only,$2420,1.0,No
26734721,No,Material only,$1720,1.0,No
20923121,No,Material and injury,$31210,1.0,No
56425562,No,Material only,$1670,1.0,No
79174311,No,Material only,$2162,5.0,Yes
30119782,Unknown,Material only,$2242.5,1.0,Yes
57267299,Yes,Material and injury,$25140,2.0,No
90217818,No,Injury only,$37743,1.0,Yes
70708127,No,Material only,$1150,1.0,Yes
75934330,Yes,Injury only,$20630,1.0,No
71288937,No,Material only,$1230,1.0,No
81526763,Unknown,Material only,$2323,3.0,Yes
78064067,No,Material only,$1090,5.0,No
29854604,No,Material and injury,$44033.5,1.0,Yes
8684318,Yes,Material only,$2670,2.0,No
46513280,No,Material only,$2070,1.0,No
6104555,Unknown,Material only,$1050,1.0,No
51669975,Yes,Injury only,$38950,1.0,No
3205230,No,Material only,$2730,3.0,No
87596868,Unknown,Injury only,$33330,2.0,No
82089910,No,Material only,$2780,1.0,No
57452643,No,Material only,$1380,3.0,No
65208809,No,Material only,$2290,1.0,No
6756905,No,Material only,$2320,3.0,No
46850495,Yes,Material only,$2173.5,1.0,Yes
79539873,Yes,Material only,$1770,1.0,No
42364152,No,Material only,$2800,1.0,No
19888166,Yes,Injury only,$33080,2.0,No
11256802,No,Material only,$2840,4.0,No
61575264,No,Material only,$1490,1.0,No
2379897,No,Material only,$2080,1.0,No
49290530,No,Material only,$2875,1.0,Yes
55466148,No,Injury only,$29010,1.0,No
99120304,No,Material only,$1710,1.0,No
65061027,Unknown,Material only,$1030,4.0,No
82584690,Unknown,Material only,$2288.5,1.0,Yes
40349009,No,Material only,$3346.5,3.0,Yes
55765343,Unknown,Material only,$1805.5,1.0,Yes
75409818,No,Material only,$1610,3.0,No
18332683,Yes,Material and injury,$24850,1.0,No
35951012,No,Material only,$3059,4.0,Yes
14818669,No,Material only,$1520,2.0,No
85322831,No,Material and injury,$23575,2.0,Yes
73449366,Unknown,Material and injury,$25120,1.0,No
43020876,Yes,Material and injury,$36685,3.0,Yes
